,Category,Class,Country,Unit,Value
1712,Number of vulnerable species,Fish,Poland,Number,7.0
1713,Number of vulnerable species,Freshwater Fish,Poland,Number,14.0
1714,Total number of threatened species,Fish,Poland,Number,29.0
1715,Total number of threatened species,Marine Fish,Poland,Number,9.0
1716,Total number of threatened species,Freshwater Fish,Poland,Number,24.0
1717,Number of endangered indigenous species,Fish,Poland,Number,15.0
1718,Number of endangered indigenous species,Marine Fish,Poland,Number,9.0
1719,Number of endangered indigenous species,Freshwater Fish,Poland,Number,5.0
1720,Number of critically endangered indigenous species,Fish,Poland,Number,7.0
1721,Number of critically endangered indigenous species,Freshwater Fish,Poland,Number,5.0
1722,Number of vulnerable indigenous species,Fish,Poland,Number,7.0
1723,Number of vulnerable indigenous species,Freshwater Fish,Poland,Number,14.0
1724,Total number of indigenous threatened species,Mammals,Poland,Number,13.0
1725,Total number of indigenous threatened species,Birds,Poland,Number,34.0
1726,Total number of indigenous threatened species,Reptiles,Poland,Number,3.0
1727,Total number of indigenous threatened species,Vascular plants,Poland,Number,428.0
1728,Total number of indigenous threatened species,Fish,Poland,Number,29.0
1729,Total number of indigenous threatened species,Marine Fish,Poland,Number,9.0
1730,Total number of indigenous threatened species,Freshwater Fish,Poland,Number,24.0
1731,Threatened species as % of known species,Mammals,Poland,Percentage,11.607000000000001
1732,Threatened species as % of known species,Birds,Poland,Percentage,7.539
1733,Threatened species as % of known species,Reptiles,Poland,Percentage,27.273000000000003
1734,Threatened species as % of known species,Vascular plants,Poland,Percentage,15.808
1735,Threatened species as % of known species,Fish,Poland,Percentage,21.014
1736,Threatened species as % of known species,Marine Fish,Poland,Percentage,18.0
1737,Threatened species as % of known species,Freshwater Fish,Poland,Percentage,34.286
1738,Threatened indigenous species as % of indigenous spec.,Mammals,Poland,Percentage,13.0
1739,Threatened indigenous species as % of indigenous spec.,Birds,Poland,Percentage,7.64
1740,Threatened indigenous species as % of indigenous spec.,Reptiles,Poland,Percentage,33.333
1741,Threatened indigenous species as % of indigenous spec.,Vascular plants,Poland,Percentage,16.89
1742,Threatened indigenous species as % of indigenous spec.,Fish,Poland,Percentage,27.885
1743,Threatened indigenous species as % of indigenous spec.,Marine Fish,Poland,Percentage,18.367
1744,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Poland,Percentage,36.923
1745,Total number of known species,Fish,Portugal,Number,65.0
1746,Total number of indigenous known species,Fish,Portugal,Number,35.0
1747,Number of endangered species,Fish,Portugal,Number,10.0
1748,Number of critically endangered species,Fish,Portugal,Number,8.0
1749,Number of vulnerable species,Fish,Portugal,Number,4.0
1750,Total number of threatened species,Fish,Portugal,Number,22.0
1751,Number of endangered indigenous species,Fish,Portugal,Number,10.0
1752,Number of critically endangered indigenous species,Fish,Portugal,Number,8.0
1753,Number of vulnerable indigenous species,Fish,Portugal,Number,4.0
1754,Total number of indigenous threatened species,Mammals,Portugal,Number,31.0
1755,Total number of indigenous threatened species,Birds,Portugal,Number,111.0
1756,Total number of indigenous threatened species,Reptiles,Portugal,Number,10.0
1757,Total number of indigenous threatened species,Amphibians,Portugal,Number,2.0
1758,Total number of indigenous threatened species,Fish,Portugal,Number,22.0
1759,Threatened species as % of known species,Mammals,Portugal,Percentage,19.62
1760,Threatened species as % of known species,Birds,Portugal,Percentage,28.244
1761,Threatened species as % of known species,Reptiles,Portugal,Percentage,20.408
1762,Threatened species as % of known species,Amphibians,Portugal,Percentage,10.0
1763,Threatened species as % of known species,Fish,Portugal,Percentage,33.846
1764,Threatened indigenous species as % of indigenous spec.,Mammals,Portugal,Percentage,28.704
1765,Threatened indigenous species as % of indigenous spec.,Birds,Portugal,Percentage,30.663
1766,Threatened indigenous species as % of indigenous spec.,Reptiles,Portugal,Percentage,31.25
1767,Threatened indigenous species as % of indigenous spec.,Amphibians,Portugal,Percentage,11.765
1768,Threatened indigenous species as % of indigenous spec.,Fish,Portugal,Percentage,62.857
1769,Total number of known species,Freshwater Fish,Slovak Republic,Number,79.0
1770,Total number of indigenous known species,Freshwater Fish,Slovak Republic,Number,63.0
1771,Number of endangered species,Freshwater Fish,Slovak Republic,Number,6.0
1772,Number of vulnerable species,Freshwater Fish,Slovak Republic,Number,6.0
1773,Total number of threatened species,Freshwater Fish,Slovak Republic,Number,12.0
1774,Number of endangered indigenous species,Freshwater Fish,Slovak Republic,Number,6.0
1775,Number of vulnerable indigenous species,Freshwater Fish,Slovak Republic,Number,6.0
1776,Total number of indigenous threatened species,Mammals,Slovak Republic,Number,20.0
1777,Total number of indigenous threatened species,Birds,Slovak Republic,Number,51.0
1778,Total number of indigenous threatened species,Reptiles,Slovak Republic,Number,5.0
1779,Total number of indigenous threatened species,Amphibians,Slovak Republic,Number,8.0
1780,Total number of indigenous threatened species,Freshwater Fish,Slovak Republic,Number,12.0
1781,Threatened species as % of known species,Mammals,Slovak Republic,Percentage,22.221999999999998
1782,Threatened species as % of known species,Birds,Slovak Republic,Percentage,24.171
1783,Threatened species as % of known species,Reptiles,Slovak Republic,Percentage,41.667
1784,Threatened species as % of known species,Amphibians,Slovak Republic,Percentage,44.443999999999996
1785,Threatened species as % of known species,Vascular plants,Slovak Republic,Percentage,14.562000000000001
1786,Threatened species as % of known species,Freshwater Fish,Slovak Republic,Percentage,15.19
1787,Threatened indigenous species as % of indigenous spec.,Mammals,Slovak Republic,Percentage,23.529
1788,Threatened indigenous species as % of indigenous spec.,Reptiles,Slovak Republic,Percentage,41.667
1789,Threatened indigenous species as % of indigenous spec.,Amphibians,Slovak Republic,Percentage,44.443999999999996
1790,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Slovak Republic,Percentage,19.048
1791,Total number of known species,Freshwater Fish,Spain,Number,1125.0
1792,Number of endangered species,Freshwater Fish,Spain,Number,9.0
1793,Number of critically endangered species,Freshwater Fish,Spain,Number,9.0
1794,Number of vulnerable species,Freshwater Fish,Spain,Number,24.0
1795,Total number of threatened species,Freshwater Fish,Spain,Number,42.0
1796,Number of endangered indigenous species,Freshwater Fish,Spain,Number,9.0
1797,Number of critically endangered indigenous species,Freshwater Fish,Spain,Number,9.0
1798,Number of vulnerable indigenous species,Freshwater Fish,Spain,Number,24.0
1799,Total number of indigenous threatened species,Mammals,Spain,Number,25.0
1800,Total number of indigenous threatened species,Birds,Spain,Number,68.0
1801,Total number of indigenous threatened species,Reptiles,Spain,Number,19.0
1802,Total number of indigenous threatened species,Amphibians,Spain,Number,9.0
1803,Total number of indigenous threatened species,Vascular plants,Spain,Number,857.0
1804,Total number of indigenous threatened species,Freshwater Fish,Spain,Number,42.0
1805,Threatened species as % of known species,Mammals,Spain,Percentage,15.924000000000001
1806,Threatened species as % of known species,Birds,Spain,Percentage,11.744000000000002
1807,Threatened species as % of known species,Reptiles,Spain,Percentage,20.651999999999997
1808,Threatened species as % of known species,Amphibians,Spain,Percentage,25.0
1809,Threatened species as % of known species,Vascular plants,Spain,Percentage,12.03
1810,Threatened species as % of known species,Freshwater Fish,Spain,Percentage,3.733
1811,Total number of known species,Fish,Sweden,Number,141.0
1812,Total number of indigenous known species,Fish,Sweden,Number,141.0
1813,Number of endangered species,Fish,Sweden,Number,6.0
1814,Number of critically endangered species,Fish,Sweden,Number,6.0
1815,Number of vulnerable species,Fish,Sweden,Number,8.0
1816,Total number of threatened species,Fish,Sweden,Number,20.0
1817,Number of endangered indigenous species,Fish,Sweden,Number,6.0
1818,Number of critically endangered indigenous species,Fish,Sweden,Number,6.0
1819,Number of vulnerable indigenous species,Fish,Sweden,Number,8.0
1820,Total number of indigenous threatened species,Mammals,Sweden,Number,14.0
1821,Total number of indigenous threatened species,Birds,Sweden,Number,52.0
1822,Total number of indigenous threatened species,Reptiles,Sweden,Number,2.0
1823,Total number of indigenous threatened species,Amphibians,Sweden,Number,5.0
1824,Total number of indigenous threatened species,Fish,Sweden,Number,20.0
1825,Threatened species as % of known species,Mammals,Sweden,Percentage,21.538
1826,Threatened species as % of known species,Birds,Sweden,Percentage,20.233
1827,Threatened species as % of known species,Reptiles,Sweden,Percentage,33.333
1828,Threatened species as % of known species,Amphibians,Sweden,Percentage,38.461999999999996
1829,Threatened species as % of known species,Vascular plants,Sweden,Percentage,17.297
1830,Threatened species as % of known species,Fish,Sweden,Percentage,14.184000000000001
1831,Threatened indigenous species as % of indigenous spec.,Mammals,Sweden,Percentage,21.538
1832,Threatened indigenous species as % of indigenous spec.,Birds,Sweden,Percentage,20.233
1833,Threatened indigenous species as % of indigenous spec.,Reptiles,Sweden,Percentage,33.333
1834,Threatened indigenous species as % of indigenous spec.,Amphibians,Sweden,Percentage,38.461999999999996
1835,Threatened indigenous species as % of indigenous spec.,Fish,Sweden,Percentage,14.184000000000001
1836,Total number of known species,Fish,Switzerland,Number,70.0
1837,Total number of known species,Freshwater Fish,Switzerland,Number,70.0
1838,Total number of indigenous known species,Fish,Switzerland,Number,55.0
1839,Total number of indigenous known species,Freshwater Fish,Switzerland,Number,55.0
1840,Number of endangered indigenous species,Fish,Switzerland,Number,5.0
1841,Number of endangered indigenous species,Freshwater Fish,Switzerland,Number,5.0
1842,Number of critically endangered indigenous species,Fish,Switzerland,Number,6.0
1843,Number of critically endangered indigenous species,Freshwater Fish,Switzerland,Number,6.0
1844,Number of vulnerable indigenous species,Fish,Switzerland,Number,13.0
1845,Number of vulnerable indigenous species,Freshwater Fish,Switzerland,Number,13.0
1846,Total number of indigenous threatened species,Mammals,Switzerland,Number,34.0
1847,Total number of indigenous threatened species,Birds,Switzerland,Number,71.0
1848,Total number of indigenous threatened species,Reptiles,Switzerland,Number,15.0
1849,Total number of indigenous threatened species,Amphibians,Switzerland,Number,13.0
1850,Total number of indigenous threatened species,Vascular plants,Switzerland,Number,670.0
1851,Total number of indigenous threatened species,Fish,Switzerland,Number,24.0
1852,Total number of indigenous threatened species,Freshwater Fish,Switzerland,Number,24.0
1853,Threatened indigenous species as % of indigenous spec.,Mammals,Switzerland,Percentage,41.975
1854,Threatened indigenous species as % of indigenous spec.,Birds,Switzerland,Percentage,35.678000000000004
1855,Threatened indigenous species as % of indigenous spec.,Reptiles,Switzerland,Percentage,78.947
1856,Threatened indigenous species as % of indigenous spec.,Amphibians,Switzerland,Percentage,72.222
1857,Threatened indigenous species as % of indigenous spec.,Vascular plants,Switzerland,Percentage,25.641
1858,Threatened indigenous species as % of indigenous spec.,Fish,Switzerland,Percentage,43.636
1859,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Switzerland,Percentage,43.636
1860,Total number of known species,Fish,Turkey,Number,716.0
1861,Total number of known species,Marine Fish,Turkey,Number,480.0
1862,Total number of known species,Freshwater Fish,Turkey,Number,236.0
1863,Threatened species as % of known species,Mammals,Turkey,Percentage,14.286
1864,Threatened species as % of known species,Birds,Turkey,Percentage,3.696
1865,Threatened species as % of known species,Amphibians,Turkey,Percentage,7.0920000000000005
1866,Threatened species as % of known species,Vascular plants,Turkey,Percentage,10.950999999999999
1867,Total number of known species,Fish,United Kingdom,Number,622.0
1868,Number of endangered species,Freshwater Fish,United Kingdom,Number,3.0
1869,Number of vulnerable species,Freshwater Fish,United Kingdom,Number,1.0
1870,Total number of threatened species,Freshwater Fish,United Kingdom,Number,4.0
1871,Number of endangered indigenous species,Fish,United Kingdom,Number,11.0
1872,Number of endangered indigenous species,Freshwater Fish,United Kingdom,Number,1.0
1873,Number of critically endangered indigenous species,Fish,United Kingdom,Number,7.0
1874,Number of vulnerable indigenous species,Fish,United Kingdom,Number,24.0
1875,Total number of indigenous threatened species,Mammals,United Kingdom,Number,18.0
1876,Total number of indigenous threatened species,Birds,United Kingdom,Number,129.0
1877,Total number of indigenous threatened species,Vascular plants,United Kingdom,Number,826.0
1878,Total number of indigenous threatened species,Fish,United Kingdom,Number,42.0
1879,Total number of indigenous threatened species,Freshwater Fish,United Kingdom,Number,1.0
1880,Threatened species as % of known species,Vascular plants,United Kingdom,Percentage,18.105999999999998
1881,Total number of known species,Freshwater Fish,United States,Number,882.0
1882,Total number of indigenous known species,Freshwater Fish,United States,Number,808.0
1883,Number of endangered species,Freshwater Fish,United States,Number,72.0
1884,Number of critically endangered species,Freshwater Fish,United States,Number,99.0
1885,Number of vulnerable species,Freshwater Fish,United States,Number,109.0
1886,Total number of threatened species,Freshwater Fish,United States,Number,280.0
1887,Number of endangered indigenous species,Freshwater Fish,United States,Number,71.0
1888,Number of critically endangered indigenous species,Freshwater Fish,United States,Number,98.0
1889,Number of vulnerable indigenous species,Freshwater Fish,United States,Number,109.0
1890,Total number of indigenous threatened species,Mammals,United States,Number,76.0
1891,Total number of indigenous threatened species,Birds,United States,Number,97.0
1892,Total number of indigenous threatened species,Reptiles,United States,Number,61.0
1893,Total number of indigenous threatened species,Amphibians,United States,Number,109.0
1894,Total number of indigenous threatened species,Vascular plants,United States,Number,5366.0
1895,Total number of indigenous threatened species,Freshwater Fish,United States,Number,278.0
1896,Threatened species as % of known species,Mammals,United States,Percentage,17.219
1897,Threatened species as % of known species,Birds,United States,Percentage,12.154000000000002
1898,Threatened species as % of known species,Reptiles,United States,Percentage,17.971
1899,Threatened species as % of known species,Amphibians,United States,Percentage,40.37
1900,Threatened species as % of known species,Vascular plants,United States,Percentage,27.467
1901,Threatened species as % of known species,Freshwater Fish,United States,Percentage,31.746
1902,Threatened indigenous species as % of indigenous spec.,Mammals,United States,Percentage,17.757
1903,Threatened indigenous species as % of indigenous spec.,Birds,United States,Percentage,12.663
1904,Threatened indigenous species as % of indigenous spec.,Reptiles,United States,Percentage,20.266
1905,Threatened indigenous species as % of indigenous spec.,Amphibians,United States,Percentage,41.923
1906,Threatened indigenous species as % of indigenous spec.,Vascular plants,United States,Percentage,32.963
1907,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,United States,Percentage,34.406
1908,Total number of known species,Fish,Chile,Number,1254.0
1909,Total number of indigenous known species,Fish,Chile,Number,1226.0
1910,Total number of indigenous known species,Marine Fish,Chile,Number,1182.0
1911,Total number of indigenous known species,Freshwater Fish,Chile,Number,44.0
1912,Number of endangered species,Fish,Chile,Number,23.0
1913,Number of endangered species,Freshwater Fish,Chile,Number,23.0
1914,Number of vulnerable species,Fish,Chile,Number,14.0
1915,Number of vulnerable species,Marine Fish,Chile,Number,1.0
1916,Number of vulnerable species,Freshwater Fish,Chile,Number,13.0
1917,Total number of threatened species,Fish,Chile,Number,38.0
1918,Total number of threatened species,Marine Fish,Chile,Number,1.0
1919,Total number of threatened species,Freshwater Fish,Chile,Number,37.0
1920,Number of endangered indigenous species,Fish,Chile,Number,23.0
1921,Number of endangered indigenous species,Freshwater Fish,Chile,Number,23.0
1922,Number of vulnerable indigenous species,Fish,Chile,Number,14.0
1923,Number of vulnerable indigenous species,Marine Fish,Chile,Number,1.0
1924,Number of vulnerable indigenous species,Freshwater Fish,Chile,Number,13.0
1925,Total number of indigenous threatened species,Mammals,Chile,Number,36.0
1926,Total number of indigenous threatened species,Birds,Chile,Number,46.0
1927,Total number of indigenous threatened species,Reptiles,Chile,Number,52.0
1928,Total number of indigenous threatened species,Amphibians,Chile,Number,44.0
1929,Total number of indigenous threatened species,Vascular plants,Chile,Number,426.0
1930,Total number of indigenous threatened species,Fish,Chile,Number,38.0
1931,Total number of indigenous threatened species,Marine Fish,Chile,Number,1.0
1932,Total number of indigenous threatened species,Freshwater Fish,Chile,Number,37.0
1933,Threatened species as % of known species,Mammals,Chile,Percentage,19.459
1934,Threatened species as % of known species,Birds,Chile,Percentage,9.02
1935,Threatened species as % of known species,Reptiles,Chile,Percentage,41.935
1936,Threatened species as % of known species,Amphibians,Chile,Percentage,67.692
1937,Threatened species as % of known species,Vascular plants,Chile,Percentage,5.414
1938,Threatened indigenous species as % of indigenous spec.,Mammals,Chile,Percentage,22.221999999999998
1939,Threatened indigenous species as % of indigenous spec.,Birds,Chile,Percentage,9.237
1940,Threatened indigenous species as % of indigenous spec.,Reptiles,Chile,Percentage,42.623000000000005
1941,Threatened indigenous species as % of indigenous spec.,Amphibians,Chile,Percentage,68.75
1942,Threatened indigenous species as % of indigenous spec.,Fish,Chile,Percentage,3.1
1943,Threatened indigenous species as % of indigenous spec.,Marine Fish,Chile,Percentage,0.085
1944,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Chile,Percentage,84.09100000000001
1945,Total number of known species,Fish,Estonia,Number,103.0
1946,Total number of known species,Marine Fish,Estonia,Number,66.0
1947,Total number of known species,Freshwater Fish,Estonia,Number,54.0
1948,Total number of indigenous known species,Fish,Estonia,Number,66.0
1949,Total number of indigenous known species,Marine Fish,Estonia,Number,52.0
1950,Total number of indigenous known species,Freshwater Fish,Estonia,Number,44.0
1951,Number of endangered species,Fish,Estonia,Number,1.0
1952,Number of critically endangered species,Fish,Estonia,Number,3.0
1953,Number of critically endangered species,Marine Fish,Estonia,Number,2.0
1954,Number of critically endangered species,Freshwater Fish,Estonia,Number,3.0
1955,Number of vulnerable species,Fish,Estonia,Number,5.0
1956,Number of vulnerable species,Freshwater Fish,Estonia,Number,5.0
1957,Total number of threatened species,Fish,Estonia,Number,9.0
1958,Total number of threatened species,Marine Fish,Estonia,Number,4.0
1959,Total number of threatened species,Freshwater Fish,Estonia,Number,9.0
1960,Number of endangered indigenous species,Fish,Estonia,Number,1.0
1961,Number of critically endangered indigenous species,Fish,Estonia,Number,3.0
1962,Number of critically endangered indigenous species,Marine Fish,Estonia,Number,2.0
1963,Number of critically endangered indigenous species,Freshwater Fish,Estonia,Number,3.0
1964,Number of vulnerable indigenous species,Fish,Estonia,Number,5.0
1965,Number of vulnerable indigenous species,Freshwater Fish,Estonia,Number,5.0
1966,Total number of indigenous threatened species,Mammals,Estonia,Number,3.0
1967,Total number of indigenous threatened species,Birds,Estonia,Number,95.0
1968,Total number of indigenous threatened species,Reptiles,Estonia,Number,2.0
1969,Total number of indigenous threatened species,Amphibians,Estonia,Number,3.0
1970,Total number of indigenous threatened species,Vascular plants,Estonia,Number,204.0
1971,Total number of indigenous threatened species,Fish,Estonia,Number,9.0
1972,Total number of indigenous threatened species,Marine Fish,Estonia,Number,4.0
1973,Total number of indigenous threatened species,Freshwater Fish,Estonia,Number,9.0
1974,Threatened species as % of known species,Mammals,Estonia,Percentage,4.545
1975,Threatened species as % of known species,Birds,Estonia,Percentage,40.598
1976,Threatened species as % of known species,Reptiles,Estonia,Percentage,40.0
1977,Threatened species as % of known species,Amphibians,Estonia,Percentage,27.273000000000003
1978,Threatened species as % of known species,Vascular plants,Estonia,Percentage,10.134
1979,Threatened species as % of known species,Fish,Estonia,Percentage,8.738
1980,Threatened species as % of known species,Marine Fish,Estonia,Percentage,6.061
1981,Threatened species as % of known species,Freshwater Fish,Estonia,Percentage,16.667
1982,Threatened indigenous species as % of indigenous spec.,Mammals,Estonia,Percentage,5.0
1983,Threatened indigenous species as % of indigenous spec.,Birds,Estonia,Percentage,43.778999999999996
1984,Threatened indigenous species as % of indigenous spec.,Reptiles,Estonia,Percentage,40.0
1985,Threatened indigenous species as % of indigenous spec.,Amphibians,Estonia,Percentage,30.0
1986,Threatened indigenous species as % of indigenous spec.,Vascular plants,Estonia,Percentage,15.595999999999998
1987,Threatened indigenous species as % of indigenous spec.,Fish,Estonia,Percentage,13.636
1988,Threatened indigenous species as % of indigenous spec.,Marine Fish,Estonia,Percentage,7.692
1989,Threatened indigenous species as % of indigenous spec.,Freshwater Fish,Estonia,Percentage,20.455
1990,Total number of indigenous threatened species,Mammals,Israel,Number,61.0
1991,Total number of indigenous threatened species,Reptiles,Israel,Number,35.0
1992,Threatened indigenous species as % of indigenous spec.,Mammals,Israel,Percentage,58.095
1993,Threatened indigenous species as % of indigenous spec.,Reptiles,Israel,Percentage,33.333
1994,Total number of threatened species,Freshwater Fish,Russia,Number,40.0
1995,Total number of known species,Fish,Slovenia,Number,273.0
1996,Total number of known species,Marine Fish,Slovenia,Number,188.0
1997,Total number of known species,Freshwater Fish,Slovenia,Number,85.0
1998,Number of endangered species,Fish,Slovenia,Number,40.0
1999,Number of endangered species,Marine Fish,Slovenia,Number,9.0
2000,Number of endangered species,Freshwater Fish,Slovenia,Number,31.0
2001,Number of vulnerable species,Fish,Slovenia,Number,10.0
2002,Number of vulnerable species,Marine Fish,Slovenia,Number,1.0
2003,Number of vulnerable species,Freshwater Fish,Slovenia,Number,9.0
2004,Total number of threatened species,Fish,Slovenia,Number,50.0
2005,Total number of threatened species,Marine Fish,Slovenia,Number,10.0
2006,Total number of threatened species,Freshwater Fish,Slovenia,Number,40.0
2007,Number of endangered indigenous species,Fish,Slovenia,Number,40.0
2008,Number of endangered indigenous species,Marine Fish,Slovenia,Number,9.0
2009,Number of endangered indigenous species,Freshwater Fish,Slovenia,Number,31.0
2010,Number of vulnerable indigenous species,Fish,Slovenia,Number,10.0
2011,Number of vulnerable indigenous species,Marine Fish,Slovenia,Number,1.0
2012,Number of vulnerable indigenous species,Freshwater Fish,Slovenia,Number,9.0
2013,Total number of indigenous threatened species,Mammals,Slovenia,Number,34.0
2014,Total number of indigenous threatened species,Birds,Slovenia,Number,105.0
2015,Total number of indigenous threatened species,Reptiles,Slovenia,Number,18.0
2016,Total number of indigenous threatened species,Amphibians,Slovenia,Number,17.0
2017,Total number of indigenous threatened species,Vascular plants,Slovenia,Number,334.0
2018,Total number of indigenous threatened species,Fish,Slovenia,Number,50.0
2019,Total number of indigenous threatened species,Marine Fish,Slovenia,Number,10.0
2020,Total number of indigenous threatened species,Freshwater Fish,Slovenia,Number,40.0
2021,Threatened species as % of known species,Mammals,Slovenia,Percentage,38.202
2022,Threatened species as % of known species,Birds,Slovenia,Percentage,27.631999999999998
2023,Threatened species as % of known species,Reptiles,Slovenia,Percentage,75.0
2024,Threatened species as % of known species,Amphibians,Slovenia,Percentage,80.952
2025,Threatened species as % of known species,Vascular plants,Slovenia,Percentage,9.676
2026,Threatened species as % of known species,Fish,Slovenia,Percentage,18.315
2027,Threatened species as % of known species,Marine Fish,Slovenia,Percentage,5.319
2028,Threatened species as % of known species,Freshwater Fish,Slovenia,Percentage,47.059
2029,Threatened indigenous species as % of indigenous spec.,Birds,Slovenia,Percentage,28.767
2030,Threatened indigenous species as % of indigenous spec.,Reptiles,Slovenia,Percentage,75.0
2031,Threatened indigenous species as % of indigenous spec.,Amphibians,Slovenia,Percentage,80.952
2032,Threatened indigenous species as % of indigenous spec.,Vascular plants,Slovenia,Percentage,10.709000000000001
2033,Total number of indigenous known species,Vascular plants,Chile,Number,7070.0
2034,Number of critically endangered species,Mammals,Chile,Number,3.0
2035,Number of critically endangered species,Amphibians,Chile,Number,10.0
2036,Number of critically endangered species,Vascular plants,Chile,Number,74.0
2037,Number of critically endangered species,Fish,Chile,Number,1.0
2038,Number of critically endangered species,Freshwater Fish,Chile,Number,1.0
2039,Number of critically endangered indigenous species,Mammals,Chile,Number,3.0
2040,Number of critically endangered indigenous species,Amphibians,Chile,Number,10.0
2041,Number of critically endangered indigenous species,Vascular plants,Chile,Number,74.0
2042,Number of critically endangered indigenous species,Fish,Chile,Number,1.0
2043,Number of critically endangered indigenous species,Freshwater Fish,Chile,Number,1.0
2044,Threatened indigenous species as % of indigenous spec.,Vascular plants,Chile,Percentage,6.025
2045,Total number of known species,Fish,France,Number,163.0
2046,Number of endangered species,Fish,Italy,Number,12.0
2047,Number of endangered species,Marine Fish,Italy,Number,6.0
2048,Number of critically endangered species,Fish,Italy,Number,21.0
2049,Number of critically endangered species,Marine Fish,Italy,Number,10.0
2050,Number of vulnerable species,Fish,Italy,Number,14.0
2051,Number of vulnerable species,Marine Fish,Italy,Number,6.0
2052,Total number of threatened species,Fish,Italy,Number,47.0
2053,Total number of threatened species,Marine Fish,Italy,Number,22.0
2054,Threatened species as % of known species,Fish,Italy,Percentage,7.332000000000001
2055,Threatened species as % of known species,Marine Fish,Italy,Percentage,4.044
2056,Total number of known species,Fish,New Zealand,Number,289.0
2057,Total number of known species,Marine Fish,New Zealand,Number,214.0
2058,Total number of indigenous known species,Fish,New Zealand,Number,258.0
2059,Total number of indigenous known species,Marine Fish,New Zealand,Number,204.0
2060,Number of endangered indigenous species,Fish,New Zealand,Number,6.0
2061,Number of critically endangered indigenous species,Fish,New Zealand,Number,4.0
2062,Number of vulnerable indigenous species,Fish,New Zealand,Number,12.0
2063,Total number of indigenous threatened species,Fish,New Zealand,Number,22.0
2064,Threatened indigenous species as % of indigenous spec.,Fish,New Zealand,Percentage,8.527000000000001
2065,Number of endangered indigenous species,Vascular plants,Sweden,Number,114.0
2066,Number of critically endangered indigenous species,Vascular plants,Sweden,Number,43.0
2067,Number of vulnerable indigenous species,Vascular plants,Sweden,Number,113.0
2068,Total number of indigenous threatened species,Vascular plants,Sweden,Number,270.0
2069,Threatened indigenous species as % of indigenous spec.,Vascular plants,Sweden,Percentage,17.297
2070,Total number of known species,Mosses,Canada,Number,1373.0
2071,Total number of indigenous known species,Mosses,Canada,Number,1364.0
2072,Number of endangered species,Mosses,Canada,Number,85.0
2073,Number of endangered species,Lichens,Canada,Number,51.0
2074,Number of vulnerable species,Mosses,Canada,Number,134.0
2075,Number of vulnerable species,Lichens,Canada,Number,63.0
2076,Total number of threatened species,Mosses,Canada,Number,294.0
2077,Total number of threatened species,Lichens,Canada,Number,184.0
2078,Number of endangered indigenous species,Mosses,Canada,Number,85.0
2079,Number of endangered indigenous species,Lichens,Canada,Number,51.0
2080,Number of vulnerable indigenous species,Mosses,Canada,Number,134.0
2081,Number of vulnerable indigenous species,Lichens,Canada,Number,63.0
2082,Total number of indigenous threatened species,Mosses,Canada,Number,294.0
2083,Total number of indigenous threatened species,Lichens,Canada,Number,184.0
2084,Threatened species as % of known species,Mosses,Canada,Percentage,21.413
2085,Threatened indigenous species as % of indigenous spec.,Mosses,Canada,Percentage,21.554000000000002
2086,Total number of known species,Mosses,Finland,Number,892.0
2087,Total number of known species,Lichens,Finland,Number,1594.0
2088,Total number of known species,Invertebrates,Finland,Number,23950.0
2089,Total number of indigenous known species,Mosses,Finland,Number,892.0
2090,Total number of indigenous known species,Lichens,Finland,Number,1594.0
2091,Total number of indigenous known species,Invertebrates,Finland,Number,23950.0
2092,Number of endangered species,Reptiles,Finland,Number,0.0
2093,Number of endangered species,Amphibians,Finland,Number,1.0
2094,Number of endangered species,Mosses,Finland,Number,70.0
2095,Number of endangered species,Lichens,Finland,Number,81.0
2096,Number of endangered species,Invertebrates,Finland,Number,393.0
2097,Number of critically endangered species,Reptiles,Finland,Number,0.0
2098,Number of critically endangered species,Amphibians,Finland,Number,0.0
2099,Number of critically endangered species,Mosses,Finland,Number,37.0
2100,Number of critically endangered species,Lichens,Finland,Number,63.0
2101,Number of critically endangered species,Invertebrates,Finland,Number,123.0
2102,Number of vulnerable species,Mosses,Finland,Number,76.0
2103,Number of vulnerable species,Lichens,Finland,Number,124.0
2104,Number of vulnerable species,Invertebrates,Finland,Number,739.0
2105,Total number of threatened species,Mosses,Finland,Number,183.0
2106,Total number of threatened species,Lichens,Finland,Number,268.0
2107,Total number of threatened species,Invertebrates,Finland,Number,1255.0
2108,Number of endangered indigenous species,Amphibians,Finland,Number,1.0
2109,Number of endangered indigenous species,Mosses,Finland,Number,70.0
2110,Number of endangered indigenous species,Lichens,Finland,Number,81.0
2111,Number of endangered indigenous species,Invertebrates,Finland,Number,393.0
2112,Number of critically endangered indigenous species,Mosses,Finland,Number,37.0
2113,Number of critically endangered indigenous species,Lichens,Finland,Number,63.0
2114,Number of critically endangered indigenous species,Invertebrates,Finland,Number,123.0
2115,Number of vulnerable indigenous species,Mosses,Finland,Number,76.0
2116,Number of vulnerable indigenous species,Lichens,Finland,Number,124.0
2117,Number of vulnerable indigenous species,Invertebrates,Finland,Number,739.0
2118,Total number of indigenous threatened species,Mosses,Finland,Number,183.0
